# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StorageLockContext.competingThreads.90P,1774241876570000000,1774241936570000000,0
StreamlinedBlobStorage.recordsDeleted,1774241876570000000,1774241936570000000,0
StorageLockContext.competingThreads.max,1774241876570000000,1774241936570000000,0
StorageLockContext.competingThreads.avg,1774241876570000000,1774241936570000000,0.0
DirectByteBufferAllocator.reclaimed,1774241876570000000,1774241936570000000,0
FilePageCache.totalPageDisposalsUs,1774241876570000000,1774241936570000000,0
FilePageCache.uncachedFileAccess,1774241876570000000,1774241936570000000,0
FilePageCache.capacityInBytes,1774241876570000000,1774241936570000000,629145600
StreamlinedBlobStorage.recordsRelocated,1774241876570000000,1774241936570000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1774241876570000000,1774241936570000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1774241876570000000,1774241936570000000,747450
MappedFileStorage.storages,1774241876570000000,1774241936570000000,6
cacheStateStorage.set.duration,1774241876570000000,1774241936570000000,0
cacheStateStorage.set.counter,1774241876570000000,1774241936570000000,1
cacheStateStorage.get.counter,1774241876570000000,1774241936570000000,1
cacheStateStorage.get.duration,1774241876570000000,1774241936570000000,0
VFS.cache.segmentsCreated,1774241876570000000,1774241936570000000,0
VFS.contentStorage.recordsReadSize,1774241876570000000,1774241936570000000,0
VFS.rootsCount,1774241876570000000,1774241936570000000,1.0
VFS.fileByIdCache.hits,1774241876570000000,1774241936570000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1774241876570000000,1774241936570000000,0
VFS.fileChildByName,1774241876570000000,1774241936570000000,0
VFS.contentStorage.recordsStoredCompressed,1774241876570000000,1774241936570000000,0
FileNameCache.totalMisses,1774241876570000000,1774241936570000000,0
VFS.cache.directoriesCreated,1774241876570000000,1774241936570000000,0
VFS.contentStorage.recordsReadDecompressed,1774241876570000000,1774241936570000000,0
FileNameCache.queries,1774241876570000000,1774241936570000000,0
VFS.cache.segments,1774241876570000000,1774241936570000000,1.0
VFS.contentStorage.recordsUncompressedSize,1774241876570000000,1774241936570000000,0
VFS.contentStorage.recordsStoredSize,1774241876570000000,1774241936570000000,0
VFS.cache.filesCreated,1774241876570000000,1774241936570000000,0
VFS.folderCaseSensitivityReads,1774241876570000000,1774241936570000000,0
VFS.fileByIdCache.misses,1774241876570000000,1774241936570000000,0
VFS.invertedFileNameIndex.requests,1774241876570000000,1774241936570000000,0
VFS.contentStorage.recordsDeduplicated,1774241876570000000,1774241936570000000,0
VFS.contentStorage.recordsStored,1774241876570000000,1774241936570000000,0
VFS.contentStorage.recordsRead,1774241876570000000,1774241936570000000,0
Indexing.cache.totalCacheEvicted,1774241876570000000,1774241936570000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1774241876570000000,1774241936570000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1774241876570000000,1774241936570000000,0
Indexing.cache.totalCacheMisses,1774241876570000000,1774241936570000000,0
Indexing.writesQueuedAvg,1774241876570000000,1774241936570000000,0.0
Indexing.totalTimeIndexersSleptMs,1774241876570000000,1774241936570000000,0
Indexing.writesQueuedMin,1774241876570000000,1774241936570000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1774241876570000000,1774241936570000000,0
Indexing.writesQueuedMax,1774241876570000000,1774241936570000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1774241876570000000,1774241936570000000,0
Indexing.cache.totalCacheAccesses,1774241876570000000,1774241936570000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1774241876570000000,1774241936570000000,0
workspaceModel.global.apply.state.to.project.ms,1774241876570000000,1774241936570000000,0
workspaceModel.global.updates.count,1774241876570000000,1774241936570000000,0
workspaceModel.sync.entities.ms,1774241876570000000,1774241936570000000,0
jps.load.initial.state.ms,1774241876570000000,1774241936570000000,0
jps.save.global.entities.ms,1774241876570000000,1774241936570000000,0
workspaceModel.global.updates.ms,1774241876570000000,1774241936570000000,0
FlushQueue.executionTime90PNs,1774241876570000000,1774241936570000000,239615
FlushQueue.waitingTimeMaxNs,1774241876570000000,1774241936570000000,954367
FlushQueue.tasksExecuted,1774241876570000000,1774241936570000000,68
WriteAction.executionsCount,1774241876570000000,1774241936570000000,0
AWTEventQueue.eventsDispatched,1774241876570000000,1774241936570000000,151
FlushQueue.waitingTime90PNs,1774241876570000000,1774241936570000000,643071
FlushQueue.queueSizeMax,1774241876570000000,1774241936570000000,1
AWTEventQueue.dispatchTimeAvgNs,1774241876570000000,1774241936570000000,305865.74834437086
FlushQueue.queueSize90P,1774241876570000000,1774241936570000000,0
FlushQueue.executionTimeMaxNs,1774241876570000000,1774241936570000000,372735
ReadAction.executionsCount,1774241876570000000,1774241936570000000,4
AWTEventQueue.dispatchTimeTotalNS,1774241876570000000,1774241936570000000,46187709
FlushQueue.queueSizeAvg,1774241876570000000,1774241936570000000,0.014705882352941176
AWTEventQueue.dispatchTimeMaxNs,1774241876570000000,1774241936570000000,991231
AWTEventQueue.dispatchTime90PNs,1774241876570000000,1774241936570000000,638975
FlushQueue.executionTimeAvgNs,1774241876570000000,1774241936570000000,160886.58823529413
FlushQueue.waitingTimeAvgNs,1774241876570000000,1774241936570000000,431420.23529411765
writeAction.wait.ms,1774241876570000000,1774241936570000000,0
DiskQueryRelay.tasksExecuted,1774241876570000000,1774241936570000000,0
writeAction.median.wait.ms,1774241876570000000,1774241936570000000,0
writeAction.count,1774241876570000000,1774241936570000000,0
writeAction.max.wait.ms,1774241876570000000,1774241936570000000,1
DiskQueryRelay.taskWaitingTotalTimeUs,1774241876570000000,1774241936570000000,0
DiskQueryRelay.tasksRequested,1774241876570000000,1774241936570000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1774241876570000000,1774241936570000000,0
MappedFileStorage.totalBytesMapped,1774241936570000000,1774241996570000000,194248704
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1774241936570000000,1774241996570000000,599801856
FilePageCache.pageHits,1774241936570000000,1774241996570000000,106270
DirectByteBufferAllocator.misses,1774241936570000000,1774241996570000000,335
FilePageCache.pageLoadsAboveSizeThreshold,1774241936570000000,1774241996570000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1774241936570000000,1774241996570000000,739318
FilePageCache.maxCacheSizeInBytes,1774241936570000000,1774241996570000000,599801856
FilePageCache.disposedBuffers,1774241936570000000,1774241996570000000,0
StreamlinedBlobStorage.recordsAllocated,1774241936570000000,1774241996570000000,45287
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1774241936570000000,1774241996570000000,3230985
MappedFileStorage.totalPagesMapped,1774241936570000000,1774241996570000000,14
FilePageCache.totalPageLoadsUs,1774241936570000000,1774241996570000000,169458
FilePageCache.maxRegisteredFiles,1774241936570000000,1774241996570000000,1097
DirectByteBufferAllocator.disposed,1774241936570000000,1774241996570000000,0
DirectByteBufferAllocator.hits,1774241936570000000,1774241996570000000,0
FilePageCache.pageLoads,1774241936570000000,1774241996570000000,335
FileChannelInterruptsRetryer.totalRetriedAttempts,1774241936570000000,1774241996570000000,0
FilePageCache.pageFastCacheHits,1774241936570000000,1774241996570000000,4369225
StorageLockContext.competingThreads.90P,1774241936570000000,1774241996570000000,0
StreamlinedBlobStorage.recordsDeleted,1774241936570000000,1774241996570000000,3
StorageLockContext.competingThreads.max,1774241936570000000,1774241996570000000,2
StorageLockContext.competingThreads.avg,1774241936570000000,1774241996570000000,0.05042016806722689
DirectByteBufferAllocator.reclaimed,1774241936570000000,1774241996570000000,0
FilePageCache.totalPageDisposalsUs,1774241936570000000,1774241996570000000,125
FilePageCache.uncachedFileAccess,1774241936570000000,1774241996570000000,662
FilePageCache.capacityInBytes,1774241936570000000,1774241996570000000,629145600
StreamlinedBlobStorage.recordsRelocated,1774241936570000000,1774241996570000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1774241936570000000,1774241996570000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1774241936570000000,1774241996570000000,755567
MappedFileStorage.storages,1774241936570000000,1774241996570000000,14
MEM.fileMappingsRamBytes,1774241936570000000,1774241996570000000,514375680
JVM.committedHeapBytes,1774241936570000000,1774241996570000000,1073741824
JVM.newThreadsCount,1774241936570000000,1774241996570000000,200
JVM.maxHeapBytes,1774241936570000000,1774241996570000000,2147483648
